7400	4	quad 2-input  NAND gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT00.pdf		
7401	4	quad 2-input NAND gate,  open collector  outputs			LS	http://www.ti.com/lit/ds/symlink/sn54ls01.pdf		
7402	4	quad 2-input  NOR  gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf		
7403	4	quad 2-input NAND gate, open collector outputs			HC/HCT	https://web.archive.org/web/20120512121440/http://www.nxp.com/documents/data_sheet/74HC_HCT03_CNV.pdf		
7404	6	hex  inverter			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT04.pdf		
7405	6	hex inverter, open collector outputs			HC	http://www.nxp.com/documents/data_sheet/74HC05.pdf		
7406	6	hex inverter buffer/driver, 30 V open collector outputs			None			
7407	6	hex buffer/driver, 30 V open collector outputs						
7408	4	quad 2-input  AND gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT08.pdf		
7409	4	quad 2-input AND gate, open collector outputs						
7410	3	triple 3-input NAND gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT10_CNV.pdf		
7411	3	triple 3-input AND gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT11.pdf		
7412	3	triple 3-input NAND gate, open collector outputs						
7413	2	dual  Schmitt trigger  4-input NAND gate						
7414	6	hex Schmitt trigger inverter			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT14.pdf		
7415	3	triple 3-input AND gate, open collector outputs						
7416	6	hex inverter buffer/driver, 15 V open collector outputs						
7417	6	hex buffer/driver, 15 V open collector outputs						
7418	2	dual 4-input NAND gate, Schmitt trigger inputs						
7419	6	hex Schmitt trigger inverter						
7420	2	dual 4-input NAND gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT20.pdf		
7421	2	dual 4-input AND gate			HC	http://www.nxp.com/documents/data_sheet/74HC21.pdf		
7422	2	dual 4-input NAND gate, open collector outputs						
7423	2	expandable dual 4-input NOR gate, strobe						
7424	4	quad 2-input NAND gate gates, Schmitt trigger line-receiver inputs.						
7425	2	dual 4-input NOR gate						
7426	4	quad 2-input NAND gate, 15 V open collector outputs						
7427	3	triple 3-input NOR gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT27.pdf		
7428	4	quad 2-input NOR buffer						
7430	1	8-input NAND gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT30.pdf		
7431	6	hex delay elements			LS	http://www.ti.com/lit/gpn/sn74ls31		
7432	4	quad 2-input  OR gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT32.pdf		
7433	4	quad 2-input NOR buffer, open collector outputs						
7434	6	hex non-inverters			HC	http://pdf.datasheetcatalog.com/datasheet/nationalsemiconductor/DS009389.PDF		
7435	6	hex non-inverters, open-collector outputs						
7436	4	quad 2-input NOR gate (different  pinout  than 7402)						
7437	4	quad 2-input NAND buffer						
7438	4	quad 2-input NAND buffer, open collector outputs						
7439	4	quad 2-input NAND buffer, open collector outputs, input and output terminals flipped, otherwise functionally identical to 7438						
7440	2	dual 4-input NAND buffer						
7441	1	BCD  to decimal  decoder / Nixie tube  driver						
7442	1	BCD to decimal decoder			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT42_CNV.pdf		
7443	1	excess-3  to decimal decoder						
7444	1	excess-3- Gray code  to decimal decoder						
7445	1	BCD to decimal decoder/driver						
7446	1	BCD to  7-segment display  decoder/driver, 30 V open collector outputs						
7447	1	BCD to 7-segment decoder/driver, 15 V open collector outputs						
7448	1	BCD to 7-segment decoder/driver, internal pullups						
7449	1	BCD to 7-segment decoder/driver, open collector outputs						
7450	2	dual 2-wide 2-input AND-OR-invert gate (one gate expandable)						
7451	2	dual 2-wide 2-input AND-OR-invert gate			Standard	http://www.ti.com/lit/gpn/sn5451		
74LS51	2	2-wide 2-input AND-OR-invert gate and 2-wide 3-input AND-OR-invert gate			LS	http://www.ti.com/lit/gpn/sn54ls54		
7452	1	expandable 4-wide 2-input AND-OR gate						
7453	1	expandable 4-wide 2-input AND-OR-invert gate						
7454	1	3-2-2-3-input AND-OR-invert gate						
7455	1	2-wide 4-input AND-OR-invert gate (74H version is expandable)						
7456	1	50:1  frequency divider						
7457	1	60:1 frequency divider						
7458	1	2-input & 3-input AND-OR gate			HC/HCT	https://web.archive.org/web/20120512110349/http://www.nxp.com/documents/data_sheet/74HC58_CNV.pdf		
7459	1	2-input & 3-input AND-OR-invert gate						
7460	2	dual 4-input expander						
7461	3	triple 3-input expander						
7462	1	3-2-2-3-input AND-OR expander						
7463	6	hex current sensing interface gates						
7464	1	4-2-3-2-input AND-OR-invert gate						
7465	1	4-2-3-2 input AND-OR-invert gate, open collector output						
7468	2	dual 4-bit decade counters						
7469	2	dual 4-bit binary counters						
7470	1	AND-gated positive edge triggered J-K  flip-flop , asynchronous preset and clear						
74H71	1	AND-or-gated J-K master-slave flip-flop, preset						
74L71	1	AND-gated R-S master-slave flip-flop, preset and clear						
7472	1	AND gated J-K master-slave flip-flop, asynchronous preset and clear						
7473	2	dual J-K flip-flop, asynchronous clear			HC/HCT	http://www.ti.com/lit/ds/symlink/cd54hc73.pdf		
7474	2	dual D positive edge triggered flip-flop, asynchronous preset and clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT74.pdf		
7475	2	4-bit bistable  latch			HC/HCT	http://www.ti.com/lit/ds/symlink/cd74hc75.pdf		
7476	2	dual J-K flip-flop, asynchronous preset and clear						
7477	1	4-bit bistable latch						
74H78	2	dual positive pulse triggered J-K flip-flop, preset, common clock and common clear						
74L78	2	dual positive pulse triggered J-K flip-flop, preset, common clock and common clear						
74LS78	2	dual negative edge triggered J-K flip-flop, preset, common clock and common clear						
7479	2	dual D flip-flop						
7480	1	gated  full adder						
7481	1	16-bit  RAM						
7482	1	2-bit binary full adder						
7483	1	4-bit binary half adder (no carry in function)						
7484	1	16-bit  RAM						
7485	1	4-bit  magnitude comparator			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT85_CNV.pdf		
7486	4	quad 2-input  XOR gate			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT86.pdf		
7487	1	4-bit true/complement/zero/one element						
7488	1	256-bit  ROM						
7489	1	64-bit  RAM						
7490	1	decade counter  (separate divide-by-2 and divide-by-5 sections)						
7491	1	8-bit  shift register , serial In, serial out, gated input						
7492	1	divide-by-12 counter (separate divide-by-2 and divide-by-6 sections)						
7493	1	4-bit binary counter (separate divide-by-2 and divide-by-8 sections)			HC/HCT	https://web.archive.org/web/20160303222707/http://www.nxp.com/documents/data_sheet/74HC_HCT93_CNV.pdf		
7494	1	4-bit shift register, dual asynchronous presets						
7495	1	4-bit shift register, parallel in, parallel out, serial input						
7496	1	5-bit parallel-in/parallel-out shift register, asynchronous preset						
7497	1	synchronous 6-bit binary rate multiplier						
7498	1	4-bit data selector/storage register						
7499	1	4-bit bidirectional universal shift register						
74100	2	dual 4-bit bistable latch						
74101	1	AND-OR-gated J-K negative-edge-triggered flip-flop, preset						
74102	1	AND-gated J-K negative-edge-triggered flip-flop, preset and clear						
74103	2	dual J-K negative-edge-triggered flip-flop, clear						
74104	1	J-K master-slave flip-flop						
74105	1	J-K master-slave flip-flop						
74106	2	dual J-K negative-edge-triggered flip-flop, preset and clear						
74107	2	dual J-K flip-flop, clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT107.pdf		
74107a	2	dual J-K negative-edge-triggered flip-flop, clear						
74108	2	dual J-K negative-edge-triggered flip-flop, preset, common clear and common clock						
74109	2	dual J-Not-K positive-edge-triggered flip-flop, clear and preset			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT109_CNV.pdf		
74110	1	AND-gated J-K master-slave flip-flop, data lockout						
74111	2	dual J-K master-slave flip-flop, data lockout						
74112	2	dual J-K negative-edge-triggered flip-flop, clear and preset			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf		
74113	2	dual J-K negative-edge-triggered flip-flop, preset						
74114	2	dual J-K negative-edge-triggered flip-flop, preset, common clock and clear						
74116	2	dual 4-bit latch, clear						
74118	6	hex set/reset latch						
74119	6	hex set/reset latch						
74120	2	dual pulse synchronizer/drivers						
74121	1	monostable  multivibrator						
74122	1	retriggerable monostable  multivibrator, clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf		
74123	2	dual retriggerable monostable multivibrator, clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf		
74124	2	dual  voltage-controlled oscillator						
74125	4	quad bus buffer,  three-state  outputs, negative enable			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT125.pdf		
74126	4	quad bus buffer, three-state outputs, positive enable			HC/HCT	https://web.archive.org/web/20141222125323/http://www.nxp.com/documents/data_sheet/74HC_HCT126_CNV.pdf		
74128	4	quad 2-input NOR line driver						
74130	4	quad 2-input AND gate buffer, 30 V open collector outputs						
74131	4	quad 2-input AND gate buffer, 15 V open collector outputs						
74132	4	quad 2-input NAND Schmitt trigger			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT132.pdf		
74133	1	13-input NAND gate						
74134	1	12-input NAND gate, three-state output						
74135	4	quad exclusive-or/NOR gate						
74136	4	quad 2-input  XOR gate , open collector outputs						
74137	1	3 to 8-line decoder/ demultiplexer , address latch, inverting outputs			HC	http://www.nxp.com/documents/data_sheet/74HC137.pdf		
74138	1	3 to 8-line decoder/demultiplexer, inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf		
74139	2	dual 2 to 4-line decoder/demultiplexer, inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT139.pdf		
74140	2	dual 4-input NAND line driver						
74141	1	BCD to decimal decoder/driver for  cold-cathode  indicator/Nixie tube						
